fecha;galpon;tipo;unidades;cubeta;sobrantes
07/02/2021;POLLITA;PIPO;0;0;0
09/02/2021;POLLITA;PIPO;0;0;0
09/02/2021;POLLITA;B;0;0;0
09/02/2021;POLLITA;A;0;0;0
09/02/2021;POLLITA;AA;0;0;0
09/02/2021;POLLITA;AAA;0;0;0
09/02/2021;POLLITA;JUMBO;0;0;0
09/02/2021;POLLITA;BLANCO;0;0;0
09/02/2021;POLLITA;VENCIDO_VENTA;0;0;0
09/02/2021;POLLITA;DESTRUIDOS;0;0;0
09/02/2021;GALLINA;PIPO;0;0;0
09/02/2021;GALLINA;B;0;0;0
09/02/2021;GALLINA;A;0;0;0
09/02/2021;GALLINA;AA;0;0;0
09/02/2021;GALLINA;AAA;0;0;0
09/02/2021;GALLINA;JUMBO;0;0;0
09/02/2021;GALLINA;BLANCO;0;0;0
09/02/2021;GALLINA;VENCIDO_VENTA;0;0;0
09/02/2021;GALLINA;DESTRUIDOS;0;0;0
14/02/2021;POLLITA;PIPO;0;0;0
14/02/2021;POLLITA;B;0;0;0
14/02/2021;POLLITA;A;0;0;0
14/02/2021;POLLITA;AA;0;0;0
14/02/2021;POLLITA;AAA;0;0;0
14/02/2021;POLLITA;JUMBO;0;0;0
14/02/2021;POLLITA;BLANCO;0;0;0
14/02/2021;POLLITA;VENCIDO_VENTA;0;0;0
14/02/2021;POLLITA;DESTRUIDOS;0;0;0
14/02/2021;GALLINA;PIPO;0;0;0
14/02/2021;GALLINA;B;0;0;0
14/02/2021;GALLINA;A;0;0;0
14/02/2021;GALLINA;AA;0;0;0
14/02/2021;GALLINA;AAA;0;0;0
14/02/2021;GALLINA;JUMBO;0;0;0
14/02/2021;GALLINA;BLANCO;0;0;0
14/02/2021;GALLINA;VENCIDO_VENTA;0;0;0
14/02/2021;GALLINA;DESTRUIDOS;0;0;0
14/02/2021;POLLITA;PIPO;30;1;1
14/02/2021;GALLINA;PIPO;30;1;1
15/02/2021;POLLITA;PIPO;0;0;0
15/02/2021;POLLITA;B;0;0;0
15/02/2021;POLLITA;A;0;0;0
15/02/2021;POLLITA;AA;0;0;0
15/02/2021;POLLITA;AAA;0;0;0
15/02/2021;POLLITA;JUMBO;0;0;0
15/02/2021;POLLITA;BLANCO;0;0;0
15/02/2021;POLLITA;VENCIDO_VENTA;0;0;0
15/02/2021;POLLITA;DESTRUIDOS;0;0;0
15/02/2021;GALLINA;PIPO;0;0;0
15/02/2021;GALLINA;B;0;0;0
15/02/2021;GALLINA;A;0;0;0
15/02/2021;GALLINA;AA;0;0;0
15/02/2021;GALLINA;AAA;0;0;0
15/02/2021;GALLINA;JUMBO;0;0;0
15/02/2021;GALLINA;BLANCO;0;0;0
15/02/2021;GALLINA;VENCIDO_VENTA;0;0;0
15/02/2021;GALLINA;DESTRUIDOS;0;0;0
