fecha;galpon;tipo;unidades;cubeta;sobrantes
30/01/2021;POLLITA;PIPO;3;3;3
30/01/2021;POLLITA;PIPO;0;0;0
30/01/2021;POLLITA;B;0;0;0
30/01/2021;POLLITA;A;0;0;0
30/01/2021;POLLITA;AA;0;0;0
30/01/2021;POLLITA;AAA;0;0;0
30/01/2021;POLLITA;JUMBO;0;0;0
30/01/2021;POLLITA;BLANCO;0;0;0
30/01/2021;POLLITA;VENCIDO_VENTA;0;0;0
30/01/2021;POLLITA;DESTRUIDOS;0;0;0
30/01/2021;GALLINA;PIPO;0;0;0
30/01/2021;GALLINA;B;0;0;0
30/01/2021;GALLINA;A;0;0;0
30/01/2021;GALLINA;AA;0;0;0
30/01/2021;GALLINA;AAA;0;0;0
30/01/2021;GALLINA;JUMBO;0;0;0
30/01/2021;GALLINA;BLANCO;0;0;0
30/01/2021;GALLINA;VENCIDO_VENTA;0;0;0
30/01/2021;GALLINA;DESTRUIDOS;0;0;0
30/01/2021;POLLITA;PIPO;-3;-0;-3
30/01/2021;POLLITA;PIPO;3;0;3
30/01/2021;POLLITA;PIPO;3;0;3
30/01/2021;POLLITA;PIPO;3;0;3
30/01/2021;POLLITA;PIPO;-3;-0;-3
30/01/2021;POLLITA;PIPO;2;2;2
30/01/2021;POLLITA;PIPO;0;0;2
30/01/2021;POLLITA;PIPO;-0;-0;-2
30/01/2021;POLLITA;PIPO;-0;-0;-2
30/01/2021;POLLITA;PIPO;-0;-0;-2
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;-4;-4;-4
30/01/2021;POLLITA;PIPO;-4;-4;-4
30/01/2021;POLLITA;PIPO;-4;-4;-4
30/01/2021;POLLITA;PIPO;-4;-4;-4
30/01/2021;POLLITA;PIPO;-4;-4;-4
30/01/2021;POLLITA;AAA;5;5;5
30/01/2021;POLLITA;VENCIDO_VENTA;5;5;5
30/01/2021;POLLITA;DESTRUIDOS;5;5;5
30/01/2021;POLLITA;BLANCO;5;5;5
30/01/2021;POLLITA;AAA;5;5;5
30/01/2021;POLLITA;B;5;5;5
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;GALLINA;A;6;6;6
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;POLLITA;PIPO;4;4;4
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;6;6;6
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
30/01/2021;POLLITA;PIPO;5;5;5
31/01/2021;POLLITA;PIPO;5;5;5
31/01/2021;POLLITA;JUMBO;6;6;6
31/01/2021;GALLINA;PIPO;5;5;5
31/01/2021;GALLINA;PIPO;6;6;6
31/01/2021;GALLINA;PIPO;-5;-5;-5
31/01/2021;GALLINA;PIPO;-6;-6;-0
31/01/2021;GALLINA;PIPO;4;4;4
31/01/2021;GALLINA;A;5;5;4
31/01/2021;GALLINA;PIPO;5;5;4
31/01/2021;POLLITA;JUMBO;4;4;4
31/01/2021;POLLITA;BLANCO;4;4;4
31/01/2021;POLLITA;PIPO;3;3;3
31/01/2021;POLLITA;PIPO;0;0;0
31/01/2021;POLLITA;B;0;0;0
31/01/2021;POLLITA;A;0;0;0
31/01/2021;POLLITA;AA;0;0;0
31/01/2021;POLLITA;AAA;0;0;0
31/01/2021;POLLITA;JUMBO;0;0;0
31/01/2021;POLLITA;BLANCO;0;0;0
31/01/2021;POLLITA;VENCIDO_VENTA;0;0;0
31/01/2021;POLLITA;DESTRUIDOS;0;0;0
31/01/2021;GALLINA;PIPO;0;0;0
31/01/2021;GALLINA;B;0;0;0
31/01/2021;GALLINA;A;0;0;0
31/01/2021;GALLINA;AA;0;0;0
31/01/2021;GALLINA;AAA;0;0;0
31/01/2021;GALLINA;JUMBO;0;0;0
31/01/2021;GALLINA;BLANCO;0;0;0
31/01/2021;GALLINA;VENCIDO_VENTA;0;0;0
31/01/2021;GALLINA;DESTRUIDOS;0;0;0
31/01/2021;GALLINA;AA;5;5;5
31/01/2021;POLLITA;AA;5;5;5
31/01/2021;POLLITA;PIPO;6;6;6
31/01/2021;POLLITA;B;6;6;3
31/01/2021;POLLITA;B;4;4;4
31/01/2021;POLLITA;B;4;4;4
31/01/2021;POLLITA;B;2;2;2
31/01/2021;POLLITA;PIPO;4;4;4
31/01/2021;POLLITA;PIPO;4;4;4
31/01/2021;GALLINA;BLANCO;3;7;4
31/01/2021;GALLINA;AA;66;66;66
31/01/2021;POLLITA;PIPO;10;2;2
31/01/2021;GALLINA;DESTRUIDOS;6;6;6
