fecha;galpon;tipo;unidades;cubeta;sobrantes
31/01/2021;POLLITA;PIPO;0;0;0
31/01/2021;POLLITA;B;0;0;0
31/01/2021;POLLITA;A;0;0;0
31/01/2021;POLLITA;AA;0;0;0
31/01/2021;POLLITA;AAA;0;0;0
31/01/2021;POLLITA;JUMBO;0;0;0
31/01/2021;POLLITA;BLANCO;0;0;0
31/01/2021;POLLITA;VENCIDO_VENTA;0;0;0
31/01/2021;POLLITA;DESTRUIDOS;0;0;0
31/01/2021;GALLINA;PIPO;0;0;0
31/01/2021;GALLINA;B;0;0;0
31/01/2021;GALLINA;A;0;0;0
31/01/2021;GALLINA;AA;0;0;0
31/01/2021;GALLINA;AAA;0;0;0
31/01/2021;GALLINA;JUMBO;0;0;0
31/01/2021;GALLINA;BLANCO;0;0;0
31/01/2021;GALLINA;VENCIDO_VENTA;0;0;0
31/01/2021;GALLINA;DESTRUIDOS;0;0;0
24/01/2021;GALLINA;A;0;20;0
25/01/2021;GALLINA;A;0;40;2
26/01/2021;GALLINA;A;0;40;34
27/01/2021;GALLINA;A;0;50;6
28/01/2021;GALLINA;A;0;30;44
29/01/2021;GALLINA;A;0;30;501/02/2021;POLLITA;PIPO;0;0;0
01/02/2021;POLLITA;B;0;0;0
01/02/2021;POLLITA;A;0;0;0
01/02/2021;POLLITA;AA;0;0;0
01/02/2021;POLLITA;AAA;0;0;0
01/02/2021;POLLITA;JUMBO;0;0;0
01/02/2021;POLLITA;BLANCO;0;0;0
01/02/2021;POLLITA;VENCIDO_VENTA;0;0;0
01/02/2021;POLLITA;DESTRUIDOS;0;0;0
01/02/2021;GALLINA;PIPO;0;0;0
01/02/2021;GALLINA;B;0;0;0
01/02/2021;GALLINA;A;0;0;0
01/02/2021;GALLINA;AA;0;0;0
01/02/2021;GALLINA;AAA;0;0;0
01/02/2021;GALLINA;JUMBO;0;0;0
01/02/2021;GALLINA;BLANCO;0;0;0
01/02/2021;GALLINA;VENCIDO_VENTA;0;0;0
01/02/2021;GALLINA;DESTRUIDOS;0;0;0
05/02/2021;POLLITA;PIPO;90;3;3
05/02/2021;POLLITA;PIPO;150;5;5
