fecha;galpon;tipo;unidades;cubeta;sobrantes
07/02/2021;POLLITA;PIPO;0;0;0
07/02/2021;POLLITA;B;0;0;0
07/02/2021;POLLITA;A;0;0;0
07/02/2021;POLLITA;AA;0;0;0
07/02/2021;POLLITA;AAA;0;0;0
07/02/2021;POLLITA;JUMBO;0;0;0
07/02/2021;POLLITA;BLANCO;0;0;0
07/02/2021;POLLITA;VENCIDO_VENTA;0;0;0
07/02/2021;POLLITA;DESTRUIDOS;0;0;0
07/02/2021;GALLINA;PIPO;0;0;0
07/02/2021;GALLINA;B;0;0;0
07/02/2021;GALLINA;A;0;0;0
07/02/2021;GALLINA;AA;0;0;0
07/02/2021;GALLINA;AAA;0;0;0
07/02/2021;GALLINA;JUMBO;0;0;0
07/02/2021;GALLINA;BLANCO;0;0;0
07/02/2021;GALLINA;VENCIDO_VENTA;0;0;0
07/02/2021;GALLINA;DESTRUIDOS;0;0;0
07/02/2021;GALLINA;BLANCO;1200;40;15
07/02/2021;POLLITA;PIPO;150;5;12
07/02/2021;POLLITA;B;1380;46;2
07/02/2021;POLLITA;A;30;1;0
07/02/2021;POLLITA;AA;900;30;19
07/02/2021;POLLITA;AAA;210;7;24
07/02/2021;POLLITA;JUMBO;210;7;18
07/02/2021;POLLITA;BLANCO;150;5;10
07/02/2021;POLLITA;VENCIDO_VENTA;120;4;12
07/02/2021;GALLINA;PIPO;0;0;18
07/02/2021;GALLINA;PIPO;30;1;1
07/02/2021;GALLINA;B;150;5;5
07/02/2021;GALLINA;A;210;7;7
07/02/2021;GALLINA;AA;570;19;23
07/02/2021;GALLINA;AA;150;5;18
07/02/2021;GALLINA;AA;-150;-5;-18
07/02/2021;GALLINA;AA;150;5;16
07/02/2021;GALLINA;AA;-150;-5;-16
07/02/2021;GALLINA;AAA;150;5;16
07/02/2021;GALLINA;AAA;240;8;28
07/02/2021;GALLINA;JUMBO;30;1;1
07/02/2021;GALLINA;JUMBO;360;12;3
07/02/2021;GALLINA;VENCIDO_VENTA;30;1;5
