fecha;tipo;unidades;cubeta;sobrantes;precio;observacion
07/02/2021;PIPO;0;0;0;0;0
07/02/2021;B;0;0;0;0;0
07/02/2021;A;0;0;0;0;0
07/02/2021;AA;0;0;0;0;0
07/02/2021;AAA;0;0;0;0;0
07/02/2021;JUMBO;0;0;0;0;0
07/02/2021;BLANCO;0;0;0;0;0
07/02/2021;VENCIDO_VENTA;0;0;0;0;0
07/02/2021;DESTRUIDOS;0;0;0;0;007/02/2021;PIPO;210;7;0;56000;jhgjhg
07/02/2021;PIPO;0;0;0;0;0
07/02/2021;B;0;0;0;0;0
07/02/2021;A;0;0;0;0;0
07/02/2021;AA;0;0;0;0;0
07/02/2021;AAA;0;0;0;0;0
07/02/2021;JUMBO;0;0;0;0;0
07/02/2021;BLANCO;0;0;0;0;0
07/02/2021;VENCIDO_VENTA;0;0;0;0;0
07/02/2021;DESTRUIDOS;0;0;0;0;0
07/02/2021;PIPO;210;7;0;56000;cchfhg
07/02/2021;PIPO;0;0;1;300;jkhkj
07/02/2021;PIPO;0;0;-1;-8000;devolucion
07/02/2021;PIPO;-30;-1;0;-8000;jkhkhj
07/02/2021;PIPO;0;0;1;8000;
07/02/2021;PIPO;-150;-5;0;-40000;
07/02/2021;JUMBO;450;15;0;135000;xyz
07/02/2021;B;1500;50;0;500000;
07/02/2021;AAA;300;10;0;100000;
07/02/2021;AA;1500;50;0;1500000;erase dfklñfdj dflkgsmn fgkñk fslkñfg, msflñhsgnjkljk klfjglkjsflñkjsdflñksdf sdflkjkljsdlksdfñlhjsdf sdflksdfmbmgsdñlksf, msgñlknsdf.,msdflks,n sgnsdfnsdfñlknsdfnmsdfknaslklnsdfmnsdmnslns estp es una frase coherente
